Order_ID,Warehouse,Destination_City,Distance_KM,Delivery_Time_Hours,Transportation_Cost,Inventory_Level,Demand,Delay
ORD000037,Hyderabad,Thiruvananthapuram,1752,36.38,37743.12,1338,279,No
ORD000038,Kolkata,Chennai,1675,54.94,31398.74,908,595,No
ORD000039,Mumbai,Raipur,1556,37.36,19242.87,1221,106,No
ORD000040,Bengaluru,Nashik,429,18.39,6711.88,1386,205,No
ORD000041,Delhi,Raipur,1239,30.67,21104.02,1066,554,No
ORD000042,Bengaluru,Patna,422,13.18,9774.92,205,27,No
ORD000043,Chennai,Agra,1206,39.42,25127.52,667,171,No
ORD000044,Kolkata,Raipur,463,19.39,6856.83,320,208,No
ORD000045,Hyderabad,Varanasi,2022,53.88,36696.00,388,788,No
ORD000046,Delhi,Visakhapatnam,1477,27.20,18224.18,945,730,No
ORD000047,Kolkata,Bhopal,730,20.34,12961.23,1824,229,No
ORD000048,Hyderabad,Ahmedabad,1858,40.93,30079.81,335,118,Yes
ORD000049,Bengaluru,Ranchi,771,21.52,14195.47,569,192,No
ORD000050,Mumbai,Raipur,548,19.24,10634.72,1207,206,No
ORD000051,Mumbai,Ludhiana,2002,38.62,23682.66,1870,239,No
ORD000052,Mumbai,Bengaluru,742,16.85,15222.85,1962,101,No
ORD000053,Chennai,Delhi,1505,31.34,33829.30,354,763,Yes
ORD000054,Pune,Kolkata,2006,46.54,40292.28,1116,165,Yes
ORD000055,Kolkata,Chennai,2173,46.77,47875.37,697,372,Yes
ORD000056,Pune,Nagpur,1076,22.51,23838.07,424,502,No
ORD000057,Bengaluru,Varanasi,2160,59.44,36203.65,1292,797,No
ORD000058,Pune,Coimbatore,1731,49.67,22013.47,26,148,Yes
ORD000059,Kolkata,Kanpur,1571,31.26,20715.35,349,495,Yes
ORD000060,Pune,Patna,2049,41.11,34556.44,1526,798,No
ORD000061,Pune,Raipur,779,26.99,14918.88,899,597,No
ORD000062,Kolkata,Vadodara,87,10.37,2607.78,255,768,No
ORD000063,Kolkata,Visakhapatnam,86,9.22,1844.11,1581,235,No
ORD000064,Ahmedabad,Kochi,38,7.16,1331.80,1415,449,No
ORD000065,Chennai,Ludhiana,947,23.18,21533.22,1038,249,No
ORD000066,Bengaluru,Bengaluru,1769,41.11,36554.63,787,325,No
ORD000067,Bengaluru,Ahmedabad,370,18.73,6091.92,1695,18,No
ORD000068,Hyderabad,Lucknow,1251,32.23,27856.89,615,434,No
ORD000069,Chennai,Raipur,1080,27.35,23782.61,908,566,No
ORD000070,Ahmedabad,Patna,689,21.55,10707.21,304,655,No
ORD000071,Mumbai,Ranchi,1120,29.01,22473.16,1085,411,No
ORD000072,Delhi,Kanpur,1876,42.95,31471.97,1536,95,Yes
ORD000073,Chennai,Kanpur,334,10.28,4248.25,486,683,No
ORD000074,Kolkata,Jaipur,1080,33.62,19136.22,339,206,No
ORD000075,Bengaluru,Chandigarh,2073,57.08,34453.75,1176,410,No
ORD000076,Pune,Nagpur,101,11.73,3203.42,189,238,No
ORD000077,Kolkata,Goa,1517,29.42,32097.58,1240,61,No
ORD000078,Delhi,Jaipur,1149,29.23,16528.12,1970,64,No
ORD000079,Delhi,Nagpur,1612,36.58,33756.99,1399,295,Yes
ORD000080,Ahmedabad,Chennai,1923,59.04,21889.42,328,109,No
ORD000081,Chennai,Delhi,1152,35.04,16835.98,721,103,No
ORD000082,Mumbai,Patna,62,11.91,2573.02,1488,655,No
ORD000083,Chennai,Goa,580,15.05,7391.35,793,609,No
ORD000084,Pune,Hyderabad,1895,40.50,39761.77,951,222,No
ORD000085,Hyderabad,Ahmedabad,1282,25.81,16412.07,294,127,Yes
ORD000086,Kolkata,Patna,765,15.97,10051.99,1107,723,No
ORD000087,Pune,Pune,1322,35.61,25730.99,962,544,Yes
ORD000088,Hyderabad,Bengaluru,1054,32.30,17151.39,998,733,No
ORD000089,Pune,Jaipur,551,13.84,6523.99,1821,364,No
ORD000090,Ahmedabad,Ludhiana,1261,33.17,28419.92,150,775,No
ORD000091,Bengaluru,Nashik,1031,33.35,16205.35,333,400,No
ORD000092,Kolkata,Kolkata,1405,33.96,21848.57,1830,332,No
ORD000093,Hyderabad,Vadodara,84,6.10,2223.55,1680,280,No
ORD000094,Ahmedabad,Nagpur,1169,32.51,16076.07,386,259,No
ORD000095,Pune,Surat,930,22.01,15373.46,1677,701,No
ORD000096,Chennai,Kolkata,1458,42.57,23256.25,1273,680,No
ORD000097,Ahmedabad,Jaipur,1801,58.60,38629.13,212,726,No
ORD000098,Chennai,Guwahati,1327,33.83,27107.30,559,396,No
ORD000099,Delhi,Nashik,2123,38.01,34400.10,556,654,No
ORD000100,Kolkata,Guwahati,758,29.51,11849.17,830,29,No
ORD000101,Chennai,Surat,2051,49.53,25906.77,1898,301,No
ORD000102,Ahmedabad,Indore,340,13.05,5345.60,1853,788,No
ORD000103,Ahmedabad,Patna,637,16.42,9410.39,1072,720,No
ORD000104,Hyderabad,Bhopal,562,22.12,9303.94,1356,712,No
ORD000105,Kolkata,Ahmedabad,1988,39.90,23279.22,670,787,No
ORD000106,Ahmedabad,Bhopal,949,24.57,18501.00,893,178,No
ORD000107,Delhi,Indore,134,6.71,3283.94,289,450,No
ORD000108,Chennai,Raipur,106,11.93,3841.88,808,776,No
ORD000109,Ahmedabad,Nagpur,1217,34.87,22731.16,1034,334,No
ORD000110,Hyderabad,Guwahati,1028,36.79,13746.57,37,559,No
ORD000111,Ahmedabad,Agra,1702,45.22,21377.59,653,768,No
ORD000112,Pune,Chennai,1052,34.56,18628.88,1545,310,No
ORD000113,Mumbai,Nagpur,1605,31.16,19350.88,45,313,No
ORD000114,Pune,Ranchi,1555,47.55,35057.35,700,89,No
ORD000115,Kolkata,Hyderabad,1228,32.92,22147.80,437,118,No
ORD000116,Bengaluru,Coimbatore,1393,43.33,20333.90,1985,132,Yes
ORD000117,Pune,Bengaluru,2061,56.45,23283.09,493,209,No
ORD000118,Kolkata,Kolkata,1480,42.83,28515.64,160,692,No
ORD000119,Bengaluru,Bhopal,1931,53.55,35001.89,1166,485,No
ORD000120,Hyderabad,Thiruvananthapuram,435,18.35,7874.67,513,612,No
ORD000121,Mumbai,Mumbai,2110,58.64,41969.98,1165,81,No
ORD000122,Delhi,Coimbatore,307,14.86,6646.02,1545,741,No
ORD000123,Ahmedabad,Thiruvananthapuram,1413,32.37,27370.24,1257,478,No
ORD000124,Bengaluru,Surat,697,25.65,13291.13,1365,457,No
ORD000125,Mumbai,Ludhiana,1087,25.87,17917.96,1075,221,No
ORD000126,Bengaluru,Nagpur,732,25.28,10838.95,766,723,No
ORD000127,Chennai,Vadodara,2171,50.64,34302.55,264,193,Yes
ORD000128,Kolkata,Kolkata,469,14.62,7417.08,1862,133,No
ORD000129,Ahmedabad,Raipur,802,18.57,15569.37,1595,39,No
ORD000130,Hyderabad,Raipur,1715,35.16,22251.57,1943,110,Yes
ORD000131,Chennai,Nagpur,679,20.30,14039.86,34,300,No
ORD000132,Pune,Ahmedabad,503,24.01,10448.67,194,176,No
ORD000133,Ahmedabad,Bhopal,211,9.46,5862.86,1035,144,No
ORD000134,Hyderabad,Kanpur,1771,50.36,25776.60,400,663,No
ORD000135,Delhi,Kolkata,956,27.53,18579.82,1511,627,No
ORD000136,Kolkata,Kolkata,1679,44.17,25495.12,641,620,No
ORD000137,Mumbai,Varanasi,1846,50.03,26666.47,172,515,No
ORD000138,Delhi,Indore,596,19.76,10359.79,1456,415,No
ORD000139,Bengaluru,Visakhapatnam,1619,34.89,20873.91,1208,34,Yes
ORD000140,Pune,Chandigarh,939,25.15,13839.30,73,300,No
ORD000141,Chennai,Kochi,273,11.76,4382.76,234,390,No
ORD000142,Hyderabad,Ranchi,1767,57.57,18871.52,288,50,No
ORD000143,Hyderabad,Nagpur,124,11.87,3211.20,1324,90,No
ORD000144,Hyderabad,Nashik,802,22.52,17809.99,1091,350,Yes
ORD000145,Ahmedabad,Ludhiana,282,12.06,7021.91,751,550,No
ORD000146,Mumbai,Kolkata,2148,48.91,43367.56,998,305,No
ORD000147,Bengaluru,Ludhiana,38,11.83,2015.12,867,619,No
ORD000148,Delhi,Nagpur,1558,35.31,18478.50,1456,224,No
ORD000149,Hyderabad,Ludhiana,2146,47.48,28343.77,1641,713,No
ORD000150,Chennai,Indore,388,18.86,6631.71,206,284,No
ORD000151,Chennai,Varanasi,1328,31.30,21229.30,78,497,No
ORD000152,Bengaluru,Patna,510,17.81,10875.90,881,502,No
ORD000153,Bengaluru,Nagpur,1196,35.52,24203.26,1036,117,No
ORD000154,Kolkata,Jaipur,847,19.98,17839.48,774,158,Yes
ORD000155,Chennai,Nagpur,464,13.78,9239.62,1348,499,No
ORD000156,Hyderabad,Bhopal,1051,23.51,21886.16,622,727,No
ORD000157,Ahmedabad,Guwahati,1969,64.61,41186.66,622,80,No
ORD000158,Hyderabad,Delhi,561,16.61,11046.00,107,97,No
ORD000159,Kolkata,Ranchi,1971,63.66,31052.21,1599,697,No
ORD000160,Bengaluru,Nashik,1055,24.23,13123.75,418,504,No
ORD000161,Chennai,Surat,1291,28.35,21531.93,1723,167,No
ORD000162,Bengaluru,Hyderabad,446,10.24,5893.20,1715,63,No
ORD000163,Ahmedabad,Kolkata,970,26.55,11936.77,1354,399,No
ORD000164,Pune,Delhi,936,23.91,18725.66,262,538,No
ORD000165,Kolkata,Bengaluru,1327,31.99,29965.81,1111,460,Yes
ORD000166,Hyderabad,Vadodara,314,13.94,7448.54,184,211,No
ORD000167,Hyderabad,Coimbatore,824,20.91,11298.20,808,259,No
ORD000168,Pune,Goa,432,18.92,10515.80,1957,227,No
ORD000169,Kolkata,Coimbatore,251,13.42,5998.88,543,327,No
ORD000170,Bengaluru,Chandigarh,1912,51.32,27795.19,1422,729,Yes
ORD000171,Mumbai,Bengaluru,536,16.79,9274.74,1125,168,No
ORD000172,Ahmedabad,Kanpur,1782,40.90,28072.69,1864,198,No
ORD000173,Mumbai,Nashik,2193,52.60,40239.06,1677,604,No
ORD000174,Mumbai,Coimbatore,174,11.34,4714.66,1561,165,No
ORD000175,Delhi,Lucknow,162,12.36,4376.99,330,483,No
ORD000176,Delhi,Raipur,1046,27.26,15620.93,1353,345,No
ORD000177,Ahmedabad,Thiruvananthapuram,1781,41.15,33912.60,1285,170,No
ORD000178,Chennai,Guwahati,1623,31.95,26230.00,335,589,No
ORD000179,Bengaluru,Goa,542,18.14,9107.30,1522,59,No
ORD000180,Chennai,Guwahati,795,20.79,12695.41,1023,313,No
ORD000181,Kolkata,Patna,2101,56.79,43759.27,1048,746,No
ORD000182,Pune,Vadodara,2071,48.51,38732.60,869,104,Yes
ORD000183,Ahmedabad,Mumbai,1279,44.05,17163.94,264,483,Yes
ORD000184,Hyderabad,Bhopal,1712,38.99,29998.55,1825,383,No
ORD000185,Bengaluru,Coimbatore,1824,44.79,29280.08,1858,265,No
ORD000186,Hyderabad,Guwahati,866,24.51,18893.40,1793,359,No
ORD000187,Ahmedabad,Vadodara,2029,44.23,36873.28,676,769,No
ORD000188,Bengaluru,Pune,2105,50.65,41031.65,373,540,No
ORD000189,Pune,Ahmedabad,1766,34.71,27022.94,1064,358,No
ORD000190,Chennai,Jaipur,1045,26.74,15523.67,1893,345,No
ORD000191,Bengaluru,Ahmedabad,2129,45.66,46092.22,1652,307,No
ORD000192,Delhi,Varanasi,515,24.80,11161.01,37,409,No
ORD000193,Ahmedabad,Mumbai,1962,46.31,42391.09,478,734,No
ORD000194,Chennai,Surat,1665,30.78,32212.60,384,466,No
ORD000195,Mumbai,Thiruvananthapuram,353,11.80,6310.44,916,615,No
ORD000196,Delhi,Guwahati,984,26.09,18474.94,1112,287,No
ORD000197,Hyderabad,Chandigarh,2000,36.90,27867.40,596,715,Yes
ORD000198,Pune,Varanasi,965,33.45,11365.08,1788,14,No
ORD000199,Hyderabad,Ranchi,1038,31.82,12885.07,1872,117,No
ORD000200,Kolkata,Kolkata,1839,54.39,39511.07,646,777,Yes
ORD000201,Bengaluru,Vadodara,1244,35.03,17963.54,776,180,No
ORD000202,Delhi,Delhi,1212,31.78,25766.20,1548,398,No
ORD000203,Ahmedabad,Goa,364,15.37,5429.98,537,224,No
ORD000204,Mumbai,Chandigarh,2031,40.45,41424.91,1821,125,Yes
ORD000205,Delhi,Agra,1590,39.08,24520.01,556,406,No
ORD000206,Delhi,Coimbatore,1820,53.09,41595.44,254,761,No
ORD000207,Delhi,Mumbai,266,13.92,3739.69,1315,46,No
ORD000208,Kolkata,Pune,1385,37.70,29775.65,1553,159,No
ORD000209,Bengaluru,Surat,1679,44.68,34878.25,1729,543,No
ORD000210,Mumbai,Chandigarh,2111,54.78,39196.66,495,555,Yes
ORD000211,Mumbai,Guwahati,512,15.41,9180.63,866,321,No
ORD000212,Chennai,Visakhapatnam,2047,43.42,29388.64,1589,755,No
ORD000213,Hyderabad,Kochi,2157,51.53,34458.78,419,357,Yes
ORD000214,Ahmedabad,Guwahati,207,8.20,5872.29,215,754,No
ORD000215,Bengaluru,Vadodara,1045,26.61,12601.04,545,791,No
ORD000216,Pune,Bhopal,670,18.36,12077.38,1400,726,No
ORD000217,Hyderabad,Indore,2175,52.82,26978.24,1919,367,No
ORD000218,Hyderabad,Pune,1876,39.07,37029.23,1294,367,No
ORD000219,Delhi,Lucknow,491,13.36,10448.60,487,368,No
ORD000220,Kolkata,Vadodara,444,13.61,10992.07,215,778,No
ORD000221,Delhi,Delhi,1793,46.54,19793.97,913,222,No
ORD000222,Kolkata,Patna,556,21.65,6967.38,449,121,No
ORD000223,Mumbai,Nagpur,1125,29.50,22670.23,1711,316,No
ORD000224,Pune,Vadodara,1486,36.01,33635.38,1406,624,No
ORD000225,Kolkata,Lucknow,2131,42.02,46261.46,1868,225,No
ORD000226,Hyderabad,Patna,2108,52.63,36985.07,128,531,No
ORD000227,Chennai,Jaipur,163,12.98,3385.06,1479,668,No
ORD000228,Chennai,Kochi,982,25.90,17786.26,1563,491,No
ORD000229,Mumbai,Mumbai,1291,45.91,17434.28,427,544,No
ORD000230,Delhi,Nashik,112,10.73,2600.04,815,699,No
ORD000231,Ahmedabad,Varanasi,244,15.63,3990.17,1998,450,No
ORD000232,Ahmedabad,Visakhapatnam,994,22.09,22043.90,79,462,No
ORD000233,Hyderabad,Ranchi,156,9.82,4011.64,1823,221,No
ORD000234,Mumbai,Goa,2000,54.79,24335.57,159,57,No
ORD000235,Ahmedabad,Varanasi,1436,41.43,19403.02,650,289,No
ORD000236,Bengaluru,Kochi,1831,53.90,21527.25,278,775,No
ORD000237,Pune,Hyderabad,1616,32.12,28235.14,696,541,Yes
ORD000238,Bengaluru,Pune,2135,45.57,41383.71,1343,790,No
ORD000239,Chennai,Bhopal,1236,31.38,22021.75,1451,246,No
ORD000240,Delhi,Indore,248,14.86,4907.84,1632,131,No
ORD000241,Delhi,Thiruvananthapuram,1431,38.90,25905.80,53,329,Yes
ORD000242,Ahmedabad,Coimbatore,337,15.31,7861.91,584,384,No
ORD000243,Delhi,Hyderabad,117,11.53,3977.86,356,691,No
ORD000244,Kolkata,Hyderabad,1144,25.59,20974.54,517,779,No
ORD000245,Mumbai,Kanpur,717,20.49,8289.73,876,34,No
ORD000246,Pune,Vadodara,765,20.38,17162.48,1924,408,No
ORD000247,Ahmedabad,Guwahati,363,15.96,7461.44,1100,450,No
ORD000248,Delhi,Lucknow,702,20.27,13421.66,1596,474,No
ORD000249,Hyderabad,Coimbatore,327,12.95,6144.85,70,286,No
ORD000250,Pune,Kolkata,1650,43.27,32028.54,300,591,No
ORD000251,Bengaluru,Patna,1929,35.18,25614.42,1257,718,No
ORD000252,Pune,Ahmedabad,837,24.23,16429.89,1112,568,No
ORD000253,Kolkata,Nashik,450,16.32,10101.33,1712,727,No
ORD000254,Chennai,Thiruvananthapuram,158,10.80,2582.49,552,465,No
ORD000255,Ahmedabad,Indore,307,11.79,6404.79,41,525,No
ORD000256,Kolkata,Patna,972,19.90,18664.75,1179,390,No
ORD000257,Chennai,Pune,1586,46.67,35809.07,725,249,No
ORD000258,Chennai,Vadodara,2148,54.55,25636.15,796,680,No
ORD000259,Kolkata,Raipur,466,13.34,9655.15,474,764,No
ORD000260,Kolkata,Pune,1740,49.64,23656.47,193,546,No
ORD000261,Hyderabad,Raipur,1567,34.76,28993.52,1977,738,No
ORD000262,Mumbai,Bhopal,1630,36.33,29909.29,1783,591,No
ORD000263,Kolkata,Pune,898,23.04,16319.71,1413,487,No
ORD000264,Chennai,Kanpur,1577,44.77,31852.03,712,111,No
ORD000265,Ahmedabad,Kanpur,695,27.51,10668.61,1940,455,No
ORD000266,Hyderabad,Raipur,793,29.51,18425.85,375,450,Yes
ORD000267,Chennai,Ahmedabad,860,27.31,16500.37,789,725,No
ORD000268,Kolkata,Coimbatore,1683,52.02,18852.64,810,701,No
ORD000269,Kolkata,Chandigarh,330,10.17,6460.82,952,287,No
ORD000270,Chennai,Thiruvananthapuram,1749,51.38,36592.05,159,391,No
ORD000271,Ahmedabad,Nagpur,167,11.36,3073.59,621,596,No
ORD000272,Kolkata,Visakhapatnam,688,19.57,11392.90,1991,185,No
ORD000273,Kolkata,Vadodara,105,8.19,2971.01,1432,683,No
ORD000274,Ahmedabad,Indore,2018,43.64,44057.83,943,582,No
ORD000275,Kolkata,Raipur,1611,40.13,26613.51,304,457,No
ORD000276,Ahmedabad,Bengaluru,1872,41.78,21355.59,181,192,Yes
ORD000277,Mumbai,Guwahati,1008,36.40,12771.42,860,584,No
ORD000278,Delhi,Kanpur,615,16.34,12520.93,1287,496,No
ORD000279,Mumbai,Goa,344,13.60,8394.78,631,363,No
ORD000280,Bengaluru,Agra,536,16.78,8308.77,1219,338,No
ORD000281,Chennai,Chennai,932,33.28,16917.89,392,287,No
ORD000282,Pune,Varanasi,1038,34.59,20578.37,965,388,Yes
ORD000283,Hyderabad,Pune,2153,40.10,27520.09,1128,118,No
ORD000284,Chennai,Ludhiana,514,18.18,12409.32,223,261,No
ORD000285,Mumbai,Hyderabad,2108,39.68,32630.54,1949,610,No
ORD000286,Delhi,Thiruvananthapuram,302,13.99,6178.17,1122,710,No
ORD000287,Bengaluru,Delhi,137,8.00,3382.13,101,568,Yes
ORD000288,Ahmedabad,Ahmedabad,370,19.03,6784.76,428,681,No
ORD000289,Hyderabad,Delhi,1767,47.52,30354.34,1800,712,No
ORD000290,Hyderabad,Guwahati,497,17.66,10884.65,1126,413,No
ORD000291,Hyderabad,Kolkata,609,20.84,8184.28,1539,268,No
ORD000292,Pune,Visakhapatnam,1564,48.86,18310.65,1361,472,No
ORD000293,Pune,Surat,358,12.00,7934.47,603,452,No
ORD000294,Mumbai,Coimbatore,1539,43.40,19857.00,228,418,No
ORD000295,Pune,Patna,1270,26.35,24955.29,189,56,No
ORD000296,Chennai,Mumbai,2143,47.54,43981.72,917,272,No
ORD000297,Delhi,Jaipur,476,16.19,9319.23,1228,49,No
ORD000298,Mumbai,Hyderabad,374,16.37,4997.81,983,642,No
ORD000299,Mumbai,Pune,538,18.12,8971.90,1811,117,No
ORD000300,Pune,Kolkata,1708,46.52,26792.63,818,389,No
ORD000301,Chennai,Visakhapatnam,103,10.04,2243.04,274,725,No
ORD000302,Kolkata,Thiruvananthapuram,1446,31.21,23268.43,746,332,No
ORD000303,Chennai,Indore,1057,28.19,19499.04,1800,273,No
ORD000304,Kolkata,Surat,40,5.63,1987.26,1698,196,No
ORD000305,Ahmedabad,Bhopal,26,8.95,2327.64,201,23,Yes
ORD000306,Delhi,Bhopal,2189,50.01,24200.95,476,403,Yes
ORD000307,Chennai,Lucknow,1756,41.74,34460.29,472,371,Yes
ORD000308,Hyderabad,Hyderabad,310,14.86,5077.77,436,118,No
ORD000309,Hyderabad,Kochi,1943,49.08,32153.26,597,351,Yes
ORD000310,Kolkata,Kochi,787,23.26,12885.66,1148,791,No
ORD000311,Mumbai,Mumbai,1405,29.54,31224.29,596,744,No
ORD000312,Hyderabad,Goa,228,9.68,3804.61,1030,161,No
ORD000313,Pune,Ludhiana,1759,48.90,24734.50,1805,397,No
ORD000314,Ahmedabad,Ranchi,508,22.92,7469.79,185,783,No
ORD000315,Chennai,Ludhiana,813,21.92,11333.71,1685,770,No
ORD000316,Pune,Ranchi,846,24.39,14920.20,734,86,Yes
ORD000317,Ahmedabad,Bengaluru,1769,43.65,36140.04,1817,453,Yes
ORD000318,Delhi,Ludhiana,1182,25.40,16564.68,234,600,No
ORD000319,Pune,Chandigarh,2070,54.70,24072.10,101,79,No
ORD000320,Bengaluru,Kochi,2171,41.58,33239.12,1588,691,No
ORD000321,Delhi,Kochi,634,14.07,8600.50,1057,680,No
ORD000322,Bengaluru,Patna,1360,30.32,26929.32,1034,780,No
ORD000323,Chennai,Ahmedabad,1808,57.57,34539.93,1239,351,No
ORD000324,Kolkata,Jaipur,560,20.57,9730.94,300,219,No
ORD000325,Pune,Vadodara,446,15.10,9143.47,758,561,No
ORD000326,Delhi,Delhi,1803,50.88,21811.61,423,724,No
ORD000327,Kolkata,Nashik,224,9.16,5673.90,1112,225,No
ORD000328,Ahmedabad,Agra,563,21.44,10708.79,1111,677,No
ORD000329,Pune,Coimbatore,2022,43.70,27630.94,260,629,No
ORD000330,Hyderabad,Nagpur,544,18.44,7940.45,615,767,No
ORD000331,Mumbai,Guwahati,242,12.97,3506.52,538,156,No
ORD000332,Bengaluru,Bhopal,806,22.70,13144.78,626,139,Yes
ORD000333,Delhi,Hyderabad,1697,50.39,23769.59,639,578,No
ORD000334,Hyderabad,Lucknow,1315,32.51,21933.98,199,49,No
ORD000335,Delhi,Hyderabad,2061,43.04,35147.46,1388,354,No
ORD000336,Bengaluru,Kolkata,321,9.62,7194.61,144,509,No
ORD000337,Chennai,Nashik,1206,30.04,23770.37,1831,209,No
ORD000338,Delhi,Nashik,582,20.36,13133.95,1550,61,No
ORD000339,Ahmedabad,Bengaluru,1934,51.98,24014.10,1401,227,No
ORD000340,Ahmedabad,Ahmedabad,1024,23.35,18521.85,1152,704,No
ORD000341,Mumbai,Indore,979,25.10,18747.27,988,64,No
ORD000342,Bengaluru,Raipur,2196,41.75,33063.88,621,724,No
ORD000343,Bengaluru,Ranchi,1416,29.18,17854.64,1382,461,No
ORD000344,Mumbai,Surat,1971,41.53,34580.19,864,795,No
ORD000345,Ahmedabad,Vadodara,1391,27.39,17760.99,957,41,No
ORD000346,Hyderabad,Kochi,1480,34.49,19741.68,1574,356,Yes
ORD000347,Chennai,Ludhiana,2023,39.50,32256.60,385,296,No
ORD000348,Hyderabad,Indore,700,21.18,11117.88,1299,270,No
ORD000349,Mumbai,Pune,1436,31.63,25361.64,1957,704,No
ORD000350,Pune,Surat,2176,40.59,32225.76,1700,644,No
ORD000351,Bengaluru,Thiruvananthapuram,268,10.10,4441.97,1085,682,No
ORD000352,Ahmedabad,Bhopal,1015,29.73,21094.28,158,172,No
ORD000353,Delhi,Vadodara,691,15.29,15052.11,795,674,No
ORD000354,Chennai,Hyderabad,1860,45.78,25151.48,1150,673,No
ORD000355,Chennai,Nagpur,304,13.30,6748.14,746,763,No
ORD000356,Chennai,Vadodara,1424,42.40,22744.38,390,751,No
ORD000357,Ahmedabad,Raipur,1544,43.67,27904.60,77,109,No
ORD000358,Mumbai,Hyderabad,528,12.91,10666.16,1931,382,No
ORD000359,Chennai,Ahmedabad,980,27.90,16912.97,1280,610,Yes
ORD000360,Hyderabad,Kanpur,1403,31.23,26367.49,62,172,No
ORD000361,Chennai,Indore,548,19.44,7335.81,1394,28,Yes
ORD000362,Hyderabad,Mumbai,1582,40.01,33374.43,823,616,No
ORD000363,Ahmedabad,Mumbai,612,19.99,12693.68,1111,489,No
ORD000364,Hyderabad,Pune,1676,41.64,19878.82,459,694,No
ORD000365,Pune,Agra,1358,31.07,15969.57,248,776,No
ORD000366,Bengaluru,Lucknow,579,21.61,12269.29,397,119,No
ORD000367,Bengaluru,Chandigarh,216,10.90,6251.80,160,455,No
ORD000368,Mumbai,Bhopal,1201,34.46,25364.63,1183,501,Yes
ORD000369,Ahmedabad,Mumbai,1291,37.86,15670.57,447,589,Yes
ORD000370,Ahmedabad,Mumbai,205,15.89,5492.51,325,206,No
ORD000371,Delhi,Nagpur,1224,33.28,14649.56,1563,528,Yes
ORD000372,Pune,Kolkata,1264,41.59,24998.69,1908,135,No
ORD000373,Chennai,Mumbai,762,24.05,12382.02,854,417,No
ORD000374,Ahmedabad,Surat,763,29.42,10994.63,522,591,No
ORD000375,Mumbai,Patna,1245,27.43,19633.41,1945,274,No
ORD000376,Mumbai,Visakhapatnam,2191,39.62,37807.95,214,526,No
ORD000377,Mumbai,Ludhiana,600,16.17,13805.09,970,235,No
ORD000378,Hyderabad,Guwahati,498,12.71,9638.96,1258,151,No
ORD000379,Chennai,Bengaluru,213,9.39,6426.95,864,770,No
ORD000380,Ahmedabad,Varanasi,1332,26.47,22741.63,343,531,No
ORD000381,Bengaluru,Lucknow,1518,32.74,30574.07,27,544,No
ORD000382,Chennai,Nashik,2024,49.37,21633.60,1966,172,Yes
